consist,bus,loco
3453813,"('16XSPM01-', '16XSPM01-', '16XSPM01-')","(4326, 4376, 4385)"
3459064,"('16X06202-', '16X06202-', '16X06202-', '16X06202-')","(4380, 4420, 4474, 4480)"
3461155,"('16XL4318-',)","(4318,)"
3467570,"('16X1SARE-', '16X1SARE-', '16X1SARE-', '16X1SARE-')","(4325, 4339, 4345, 4382)"
3469601,"('16N03516-',)","(4404,)"
3476316,"('16XSPG09-', '16XSPG09-', '16XSPG09-', '16XSPG09-')","(4317, 4395, 4400, 4403)"
3476506,"('16XSPG10-', '16XSPG10-', '16XSPG10-', '16XSPG10-')","(4357, 4361, 4441, 4483)"
3476748,"('16N03603-',)","(4485,)"
3479326,"('16XSPGO4-', '16XSPGO4-', '16XSPGO4-', '16XSPGO4-')","(4335, 4450, 4455, 4478)"
3480408,"('16S65781-',)","(4375,)"
3481174,"('16XL4385-',)","(4408,)"
3486078,"('16VX17304', '16VX17304', '16VX17304')","(4341, 4372, 4438)"
3488342,"('16N03732-',)","(4442,)"
3488490,"('16X06731-', '16X06731-', '16X06731-', '16X06731-')","(4332, 4410, 4426, 4456)"
3491148,"('16U01174-',)","(4359,)"
3493915,"('16U02947-',)","(4449,)"
3494548,"('16U02960-',)","(4355,)"
3494877,"('16U03214-',)","(4330,)"
3499092,"('16U03302-',)","(4435,)"
3499309,"('16XXSPG1-', '16XXSPG1-', '16XXSPG1-', '16XXSPG1-', '16XXSPG1-', '16XXSPG1-')","(4346, 4369, 4394, 4397, 4402, 4465)"
3499654,"('16N03866-',)","(4475,)"
3500081,"('16U03327-',)","(4366,)"
3501897,"('16U03349-',)","(4368,)"
3501913,"('16N03893-',)","(4347,)"
3502587,"('16U03358-',)","(4489,)"
3503415,"('16N03910-',)","(4418,)"
3509587,"('16U03529-',)","(4319,)"
3510124,"('16U03548-',)","(4338,)"
3512175,"('16X03SPY-', '16X03SPY-', '16X03SPY-')","(4349, 4433, 4484)"
3512395,"('16X06SPY-', '16X06SPY-')","(4328, 4396)"
3512636,"('16S65785-',)","(4316,)"
3513954,"('16VL7220-', '16VL7220-', '16VL7220-')","(4363, 4399, 4432)"
3514004,"('16XECBPC-', '16XECBPC-', '16XECBPC-')","(4322, 4365, 4421)"
3518590,"('16U03679-',)","(4419,)"
3519299,"('16U03682-',)","(4352,)"
3519842,"('16U03701-',)","(4350,)"
3524403,"('16U03751-',)","(4321,)"
3526003,"('16N04053-',)","(4362,)"
3529452,"('16U03802-',)","(4353,)"
