,bus,consist,loco
4314,16M07968-,3556760,4314
4315,16X05SPY-,3545247,4315
4316,16S65785-,3512636,4316
4317,16XSPG09-,3476316,4317
4318,16XL4318-,3461155,4318
4319,16U03529-,3509587,4319
4320,16M07967-,3557113,4320
4321,16U03751-,3524403,4321
4322,16XECBPC-,3514004,4322
4323,16M07977-,3557319,4323
4324,16M07968-,3556760,4324
4325,16X1SARE-,3467570,4325
4326,16XSPM01-,3453813,4326
4327,16M07984-,3557891,4327
4328,16X06SPY-,3512395,4328
4329,16U04167-,3554769,4329
4330,16U03214-,3494877,4330
4331,16M07985-,3557938,4331
4332,16X06731-,3488490,4332
4333,16M07960B,3556824,4333
4334,16M07964-,3556627,4334
4335,16XSPGO4-,3479326,4335
4336,16U03932-,3535513,4336
4337,16M07798-,3547509,4337
4338,16U03548-,3510124,4338
4339,16X1SARE-,3467570,4339
4340,16M07987-,3558027,4340
4341,16VX17304,3486078,4341
4342,16M07870A,3552065,4342
4343,16M07962-,3556519,4343
4344,16M07965B,3557173,4344
4345,16X1SARE-,3467570,4345
4346,16XXSPG1-,3499309,4346
4347,16N03893-,3501913,4347
4348,16M07961-,3556520,4348
4349,16X03SPY-,3512175,4349
4350,16U03701-,3519842,4350
4351,16M07953-,3555736,4351
4352,16U03682-,3519299,4352
4353,16U03802-,3529452,4353
4354,16M07970B,3557359,4354
4355,16U02960-,3494548,4355
4356,16M07908-,3553447,4356
4357,16XSPG10-,3476506,4357
4358,16M07947-,3555617,4358
4359,16U01174-,3491148,4359
4360,16U04018-,3541654,4360
4361,16XSPG10-,3476506,4361
4362,16N04053-,3526003,4362
4363,16VL7220-,3513954,4363
4364,16XXSPG3-,3557535,4364
4365,16XECBPC-,3514004,4365
4366,16U03327-,3500081,4366
4367,16M07950-,3555960,4367
4368,16U03349-,3501897,4368
4369,16XXSPG1-,3499309,4369
4371,16XXCVCG-,3542620,4371
4372,16VX17304,3486078,4372
4373,16M07740-,3545099,4373
4374,16M07980-,3557880,4374
4375,16S65781-,3480408,4375
4376,16XSPM01-,3453813,4376
4377,16X01SPY-,3543723,4377
4378,16M07976-,3557536,4378
4379,16M07976-,3557536,4379
4380,16X06202-,3459064,4380
4381,16U03879-,3532216,4381
4382,16X1SARE-,3467570,4382
4383,16M07974B,3557672,4383
4384,16M07984-,3557891,4384
4385,16XSPM01-,3453813,4385
4386,16M07835-,3549778,4386
4387,16S65786-,3530447,4387
4388,16M07737-,3544295,4388
4389,16M07964-,3556627,4389
4390,16M07951-,3555902,4390
4391,16M07946-,3555620,4391
4392,16M07970A,3557382,4392
4393,16U03879-,3532216,4393
4394,16XXSPG1-,3499309,4394
4395,16XSPG09-,3476316,4395
4396,16X06SPY-,3512395,4396
4397,16XXSPG1-,3499309,4397
4398,16M07977-,3557319,4398
4399,16VL7220-,3513954,4399
4400,16XSPG09-,3476316,4400
4401,16M07960B,3556824,4401
4402,16XXSPG1-,3499309,4402
4403,16XSPG09-,3476316,4403
4404,16N03516-,3469601,4404
4405,16U03879-,3532216,4405
4406,16M07954-,3556027,4406
4407,16M07958A,3556776,4407
4408,16XL4385-,3481174,4408
4409,16M07975B,3557858,4409
4410,16X06731-,3488490,4410
4411,16M07929-,3554588,4411
4412,16M07967-,3557113,4412
4413,16M07952-,3555859,4413
4414,16M07982-,3557713,4414
4415,16N04422-,3557569,4415
4416,16M07983-,3557804,4416
4417,16XXSPG3-,3557535,4417
4418,16N03910-,3503415,4418
4419,16U03679-,3518590,4419
4420,16X06202-,3459064,4420
4421,16XECBPC-,3514004,4421
4422,16M07945-,3555515,4422
4423,16U03879-,3532216,4423
4424,16M07964-,3556627,4424
4425,16M07951B,3556477,4425
4426,16X06731-,3488490,4426
4427,16XSEGSD-,3537073,4427
4428,16X05SPY-,3545247,4428
