,BUSINESS_TRAIN_ID,TRAIN_ID
0,16M07006-,45020500
1,16M07831-,45762239
2,16M07731A,45685277
3,16M07478B,45417540
4,16N03553-,44467868
5,16N04277-,45706647
6,16M07873B,45830727
7,16M07116A,45102176
8,16M06762B,44823764
9,16M06149-,44207261
10,16M06943B,44996568
11,16N04408-,45916419
12,16N03800-,44868545
13,16N04149-,45515197
14,16M06239-,44281885
15,16M07945A,45909545
16,16M06173B,44254511
17,16M06550A,44602156
18,16N03419-,44290837
19,16N03879-,44996566
20,16M07208B,45166513
21,16M06533B,44589837
22,16M07800B,45754483
23,16M07481A,45435003
24,16M06289B,44346212
25,16M07964B,45924268
26,16M06445-,44466858
27,16XRGRD1-,44577209
28,16M06571-,44597939
29,16M06998B,45044760
30,16M07526-,45448203
31,16M07569A,45539696
32,16M06531B,44586672
33,16N04310-,45753753
34,16M07229A,45195196
35,16M07051B,45068523
36,16N03734-,44759647
37,16N03795-,44862426
38,16M07242A,45205610
39,16M06243A,44298854
40,16M07802A,45754486
41,16M06708B,44758222
42,16M07078-,45067799
43,16N03504-,44410288
44,16M07740-,45671719
45,16M06722A,44794549
46,16M07785-,45714266
47,16M07640A,45603897
48,16M06528-,44550686
49,16M06261A,44331304
50,16M06207B,44272994
51,16M07409A,45366046
52,16M06275-,44307142
53,16U03378-,45032882
54,16M07656A,45619714
55,16M07103A,45097319
56,16M07401B,45354777
57,16M06585B,44663221
58,16N04322-,45773871
59,16M06196A,44270081
60,16M07005A,45049049
61,16M06748-,44780065
62,16M06350A,44403524
63,16N04039-,45344549
64,16M06389A,44440909
65,16M06126B,44205656
66,16M07784B,45733560
67,16M06703B,44755987
68,16M06198-,44252720
69,16M07718-,45653389
70,16M07126-,45095412
71,16M06420A,44466741
72,16M06478A,44525463
73,16M06959-,44987560
74,16M07806B,45760688
75,16M06091B,44183445
76,16N04096-,45411237
77,16M07775-,45707804
78,16M07410-,45346986
79,16M07018-,45031648
80,16M06156A,44238989
81,16M07330-,45270798
82,16N03582-,44510030
83,16M07084-,45070690
84,16N03886-,45003588
85,16M07180B,45145432
86,16M06906B,44966644
87,16M06353B,44413968
88,16M06988B,45027367
89,16M06458B,44502623
90,16M07404B,45359192
91,16M06549A,44607735
92,16M06206-,44256932
93,16M07252B,45229343
94,16N03673-,44664236
95,16M07303B,45270183
96,16M06605A,44677751
97,16M06349B,44402456
98,16M06413A,44463693
99,16B55663-,44720417
100,16M06131-,44191724
101,16M07798A,45746701
102,16M07678A,45640156
103,16M06577B,44633787
104,16M07949-,45888558
105,16N03569-,44491062
106,16M06704B,44766001
107,16M07365B,45338888
108,16M07799-,45728636
109,16M06103B,44196250
110,16M06308A,44368266
111,16M07187A,45146652
112,16M07074-,45064552
113,16M07285-,45228319
114,16M06357A,44418938
115,16N03892-,45009133
116,16M07633B,45599680
117,16M07818-,45745300
118,16M06265-,44297514
119,16M06885-,44912523
120,16M06850-,44878044
121,16N04297-,45731868
122,16M06219-,44268790
123,16M07566B,45532709
124,16M07281A,45249290
125,16M07400B,45360093
126,16M06115B,44200638
127,16M07078A,45081947
128,16M06258B,44316355
129,16M06405-,44434107
130,16M07378A,45344159
131,16N03534-,44448503
132,16M06500B,44544132
133,16M06860B,44935111
134,16M06705A,44766871
135,16M07298A,45265031
136,16M06176-,44233694
137,16M07725A,45681626
138,16M07229B,45195197
139,16N03444-,44326158
140,16M06771B,44822511
141,16M07899-,45834404
142,16M07340-,45282532
143,16M06820B,44878045
144,16N03532-,44446324
145,16M06293-,44327504
146,16N04303-,45741317
147,16M06698B,44751386
148,16M06618B,44682497
149,16M07901A,45868988
150,16M07905A,45866072
151,16M07601A,45568481
152,16M06886A,44959873
153,16M06936-,44968012
154,16M07033-,45040253
155,16M07468B,45407357
156,16M06313-,44346210
157,16M07452-,45378732
158,16M06877-,44902081
159,16M07333B,45293447
160,16M07018B,45055867
161,16M07163A,45130806
162,16M07239A,45205200
163,16M07547B,45513973
164,16M07584B,45550786
165,16M06126-,44188547
166,16M06234A,44291730
167,16M07342A,45305480
168,16M07087A,45090251
169,16M07532B,45496492
170,16M06616A,44672562
171,16M06369A,44426627
172,16M06615B,44673409
173,16M07136A,45114614
174,16N03422-,44294189
175,16M06140-,44202516
176,16M07376A,45337633
177,16M07847B,45805252
178,16M07221-,45156586
179,16M06857A,44918960
180,16M06126A,44205655
181,16M07153-,45108593
182,16M07803B,45754480
183,16M06644B,44700190
184,16M07542-,45467558
185,16M06209B,44276335
186,16N03473-,44368653
187,16M06264B,44322715
188,16M07417B,45368834
189,16U03925-,45538372
190,16M06142-,44203123
191,16M06452-,44471210
192,16N03437-,44316838
193,16M06350-,44384584
194,16M06666A,44717319
195,16M07839A,45792845
196,16M07025A,45051499
197,16M06855A,44902841
198,16M06862B,44912521
199,16M07945-,45885560
200,16M07030B,45052362
201,16M06881A,44940516
202,16M06839-,44865734
203,16M06183B,44261429
204,16N03751-,44792219
205,16M06320-,44356766
206,16M06114B,44201360
207,16M07547-,45475165
208,16N03976-,45251115
209,16N03599-,44539866
210,16N03523-,44436012
211,16M06297-,44335137
212,16N04141-,45499736
213,16M07521-,45440837
214,16M06856A,44910945
215,16M07373B,45335949
216,16M07600A,45558747
217,16M06659-,44691303
218,16M07290-,45232700
219,16M07929-,45868646
220,16M07531B,45492228
221,16M06381B,44436125
222,16M07881B,45845638
223,16M06938B,44997487
224,16M07536A,45502746
225,16M06475B,44514572
226,16N04158-,45529085
227,16N04169-,45544479
228,16M06744B,44810925
229,16N04256-,45672886
230,16M07541B,45516861
231,16F98820-,45175852
232,16M06412B,44463354
233,16M06138-,44201244
234,16M07486A,45438421
235,16M06952A,45002997
236,16M06957-,44985941
237,16N04399-,45905150
238,16M07429B,45379610
239,16M07578A,45549820
240,16N03468-,44363669
241,16N04146-,45509152
242,16M07320A,45286991
243,16N03765-,44819897
244,16N03371-,44237714
245,16M07302-,45246860
246,16M06801-,44832856
247,16M06496B,44541874
248,16M07319-,45259394
249,16M07851A,45804580
250,16M07114B,45102997
251,16M07663A,45619729
252,16M07286B,45252254
253,16U04175-,45897620
254,16N03486-,44386232
255,16M06821B,44871962
256,16M07639-,45574731
257,16M07617B,45576329
258,16M07675B,45637365
259,16M07825-,45754475
260,16M06441A,44483333
261,16M06462A,44510149
262,16M07670-,45608119
263,16M07692-,45630816
264,16M07280A,45246861
265,16M06782-,44817016
266,16M07650A,45611841
267,16M06102B,44186898
268,16N03409-,44282006
269,16M07660A,45619712
270,16M06563B,44621296
271,16M06119A,44202881
272,16M07154-,45109314
273,16VTM0021,45443872
274,16M07426A,45375376
275,16M07915B,45881851
276,16M06262B,44316475
277,16M07034A,45054211
278,16M07207-,45147849
279,16N04196-,45586222
280,16M07317A,45280875
281,16N03471-,44366779
282,16M07950-,45889431
283,16M07516-,45433413
284,16M06866-,44890891
285,16M06749-,44781515
286,16M06598-,44633165
287,16S65786-,45210013
288,16M06417-,44442293
289,16N03661-,44644150
290,16U03305-,44979272
291,16M07833B,45788551
292,16N04279-,45708753
293,16M06333A,44390699
294,16M06409-,44436468
295,16N04409-,45917811
296,16M07175-,45123124
297,16N03548-,44464340
298,16M06619-,44653325
299,16M06250B,44302507
300,16M07603A,45568356
301,16M06431A,44469788
302,16M06714A,44776175
303,16M07900B,45866070
304,16M06092A,44179769
305,16M06846B,44896762
306,16M07931-,45872875
307,16N03810-,44883983
308,16M07587B,45555248
309,16N03872-,44985942
310,16M07463-,45384113
311,16M07552A,45523439
312,16M07674A,45638238
313,16N03666-,44653764
314,16M07432A,45381489
315,16M07479A,45417913
316,16M07548B,45525068
317,16M06837A,44894056
318,16M07541A,45516992
319,16M07098-,45079461
320,16M06866A,44927132
321,16N03915-,45143724
322,16N03683-,44679934
323,16M07836-,45765810
324,16M07934A,45899106
325,16M07000-,45016882
326,16M06237B,44297510
327,16M07813B,45767448
328,16M07265-,45203620
329,16M06665B,44716268
330,16M07876B,45834532
331,16M07499-,45413537
332,16M07934B,45899107
333,16M07553A,45527428
334,16M07292-,45235641
335,16M07476A,45429040
336,16M06162B,44243274
337,16M06115A,44200637
338,16N03881-,44998011
339,16M06394-,44422205
340,16M07927A,45893629
341,16M07405-,45340929
342,16N03461-,44349248
343,16M07840B,45794688
344,16M06157A,44239112
345,16M06460A,44507934
346,16M06890-,44921098
347,16M06908A,44965770
348,16N04077-,45387121
349,16M06794B,44845322
350,16M07527-,45451867
351,16N03350-,44211522
352,16M06474A,44522563
353,16M06495A,44549930
354,16M06420-,44447026
355,16M06101A,44188545
356,16M06354-,44386849
357,16N03878-,44995625
358,16M06397-,44425411
359,16M06120-,44185229
360,16M07571B,45543951
361,16N03764-,44816768
362,16M06606A,44657570
363,16M06914A,44969573
364,16M06673-,44706604
365,16N03521-,44433035
366,16M07967A,45931871
367,16N03877-,44992165
368,16M06692A,44742991
369,16M07906-,45841934
370,16M07694-,45632151
371,16M07065A,45070703
372,16M07937B,45907009
373,16M06509A,44560146
374,16M06502B,44560839
375,16M07583-,45524222
376,16M07249A,45220699
377,16M06662B,44714733
378,16M06903A,44956177
379,16M06591B,44645110
380,16M07537A,45494735
381,16M06569-,44597937
382,16M06124B,44203361
383,16M07729-,45661277
384,16M06253-,44290396
385,16M06558-,44581846
386,16M07522B,45481007
387,16M07035B,45055010
388,16N04285-,45715615
389,16N04117-,45453247
390,16M07804-,45732770
391,16M06153B,44231116
392,16M07100-,45081321
393,16N03679-,44673407
394,16M07572A,45539957
395,16N03693-,44693881
396,16M07936A,45899231
397,16M07254A,45234727
398,16M06365B,44422573
399,16M06199B,44274698
400,16M06887A,44947242
401,16N03809-,44882868
402,16M06082B,44171336
403,16M07686-,45619715
404,16M07517A,45470256
405,16M07744-,45674593
406,16M06928A,44992164
407,16M07086B,45088964
408,16M06911A,44969576
409,16M06352-,44385863
410,16M07288A,45255626
411,16M06354A,44414212
412,16N03687-,44686009
413,16M06497-,44518343
414,16M07529A,45496491
415,16M06671A,44721307
