"BUSINESS_TRAIN_ID","POSITION_NUMBER","VEHICLE_NUMBER","DISPLAY_NAME","VEHICLE_MODEL_NAME","CONSIST_ID"
"16B55661-",1,"6L4372","4372","SD70",3485884
"16B55661-",2,"6L4438","4438","SD70",3485884
"16B55662-",1,"6L4341","4341","SD70",3485889
"16B55662-",2,"6L4372","4372","SD70",3485889
"16B55662-",3,"6L4438","4438","SD70",3485889
"16B55663-",1,"6L4323","4323","SD70",3501848
"16B55663-",2,"6L4365","4365","SD70",3501848
"16B55663-",33,"6L4372","4372","SD70",3501848
"16B55664-",1,"6L4372","4372","SD70",3528614
"16B55664-",27,"6L4341","4341","SD70",3528614
"16F98788-",1,"6L4430","4430","SD70",3456185
"16F98790-",1,"6L4481","4481","SD70",3460831
"16F98791-",1,"6L4481","4481","SD70",3463048
"16F98792-",1,"6L4481","4481","SD70",3464535
"16F98793-",1,"6L4357","4357","SD70",3470190
"16F98795-",1,"6L4338","4338","SD70",3471828
"16F98795-",2,"6L4404","4404","SD70",3471828
"16F98796-",1,"6L4374","4374","UNKNOWN - Locomotive",3473942
"16F98797-",1,"6L4374","4374","UNKNOWN - Locomotive",3475791
"16F98798-",1,"6L4485","4485","SD70",3477820
"16F98799-",1,"6L4480","4480","SD70",3479929
"16F98800-",1,"6L4462","4462","SD70",3482234
"16F98801-",1,"6L4462","4462","SD70",3484542
"16F98804-",1,"6L4475","4475","SD70",3488481
"16F98804-",2,"6L4447","4447","SD70",3488481
"16F98805-",1,"6L4442","4442","SD70",3489841
"16F98805-",2,"6L4480","4480","SD70",3489841
"16F98806-",1,"6L4374","4374","UNKNOWN - Locomotive",3491889
"16F98807-",1,"6L4445","4445","SD70",3494611
"16F98808-",1,"6L4347","4347","SD70",3497828
"16F98809-",1,"6L4445","4445","SD70",3498429
"16F98809-",2,"6L4347","4347","SD70",3498429
"16F98810B",1,"6L4347","4347","SD70",3499419
"16F98811-",1,"6L4475","4475","SD70",3502895
"16F98811A",1,"6L4475","4475","SD70",3502253
"16F98811B",1,"6L4445","4445","SD70",3501826
"16F98812-",1,"6L4475","4475","SD70",3504936
"16F98813-",133,"6L4362","4362","SD70",3503967
"16F98813-",134,"6L4316","4316","SD70",3503967
"16F98813-",267,"6L4337","4337","SD70",3503967
"16F98813-",268,"6L4404","4404","SD70",3503967
"16F98814-",1,"6L4475","4475","SD70",3505017
"16F98815-",1,"6L4447","4447","SD70",3506401
"16F98816-",18,"6L4481","4481","SD70",3507506
"16F98816-",19,"6L4360","4360","SD70",3507506
"16F98816A",1,"6L4481","4481","SD70",3506683
"16F98816B",1,"6L4360","4360","SD70",3506719
"16F98817-",1,"6L4481","4481","SD70",3509649
"16F98817-",2,"6L4360","4360","SD70",3509649
"16F98817A",1,"6L4360","4360","SD70",3508985
"16F98817B",1,"6L4481","4481","SD70",3508939
"16F98818-",1,"6L4481","4481","SD70",3512026
"16F98820-",1,"6L4470","4470","SD70",3516520
"16F98821-",1,"6L4470","4470","SD70",3518930
"16F98822-",1,"6L4487","4487","UNKNOWN - Locomotive",3521505
"16F98823-",1,"6L4487","4487","UNKNOWN - Locomotive",3522830
"16F98824-",1,"6L4487","4487","UNKNOWN - Locomotive",3526608
"16F98825-",1,"6L4415","4415","SD70",3529266
"16F98825-",2,"6L4362","4362","SD70",3529266
"16F98826-",1,"6L4434","4434","SD70",3531624
"16F98827-",1,"6L4344","4344","SD70",3533961
"16F98828-",1,"6L4431","4431","SD70",3537553
"16F98828-",2,"6L4322","4322","SD70",3537553
"16F98829-",1,"6L4344","4344","SD70",3538807
"16F98830-",1,"6L4380","4380","UNKNOWN - Locomotive",3541199
"16F98831-",1,"6L4318","4318","SD70",3543417
"16F98832-",1,"6L4385","4385","UNKNOWN - Locomotive",3546342
"16F98834-",1,"6L4444","4444","SD70",3550991
"16F98835-",1,"6L4425","4425","SD70",3553471
"16F98835-",2,"6L4321","4321","SD70",3553471
"16F98836-",1,"6L4321","4321","SD70",3553585
"16F98836-",2,"6L4425","4425","SD70",3553585
"16F98837-",10,"6L4443","4443","SD70",3555564
"16F98837-",11,"6L4479","4479","SD70",3555564
"16F98838-",1,"6L4415","4415","SD70",3556909
"16F98838-",2,"6L4479","4479","SD70",3556909
"16M06076A",1,"6L4351","4351","SD70",3454176
"16M06076A",2,"6L4333","4333","SD70",3454176
"16M06078A",1,"6L4477","4477","SD70",3454019
"16M06078A",2,"6L4406","4406","SD70",3454019
"16M06083B",1,"6L4424","4424","SD70",3454236
"16M06083B",2,"6L4341","4341","SD70",3454236
"16M06083B",266,"6L4481","4481","SD70",3454236
"16M06083B",267,"6L4414","4414","SD70",3454236
"16M06084A",1,"6L4439","4439","SD70",3453868
"16M06084A",2,"6L4405","4405","SD70",3453868
"16M06086B",1,"6L4414","4414","SD70",3454219
"16M06086B",2,"6L4481","4481","SD70",3454219
"16M06090A",1,"6L4320","4320","SD70",3454473
"16M06090A",2,"6L4344","4344","SD70",3454473
"16M06090A",135,"6L4451","4451","SD70",3454473
"16M06090A",136,"6L4373","4373","SD70",3454473
"16M06090B",1,"6L4451","4451","SD70",3454371
"16M06090B",2,"6L4373","4373","SD70",3454371
"16M06091A",1,"6L4441","4441","SD70",3454540
